Country,Quarter,Population,quarterly_annualized_inflation,quarterly_nonannualized_inflation
Pakistan,1/1/1970,,4.123316765,0.909427643
Pakistan,4/1/1970,58.142062,5.884007931,1.36164391
Pakistan,7/1/1970,,5.637752056,1.952209592
Pakistan,10/1/1970,,5.738292217,1.398203492
Pakistan,1/1/1971,,6.124188423,1.277700782
Pakistan,4/1/1971,59.734479,4.536409378,-0.154880419
Pakistan,7/1/1971,,4.335189342,1.755964279
Pakistan,10/1/1971,,3.978815556,1.051861405
Pakistan,1/1/1972,,3.828640461,1.131426692
Pakistan,4/1/1972,61.381982,4.898706436,0.874130964
Pakistan,7/1/1972,,5.59773159,2.434046984
Pakistan,10/1/1972,,6.369176865,1.79009676
Pakistan,1/1/1973,,10.54028988,5.097149372
Pakistan,4/1/1973,63.099404,14.55696201,4.53956604
Pakistan,7/1/1973,,28.90139961,15.26049519
Pakistan,10/1/1973,,37.41880417,8.51607132
Pakistan,1/1/1974,,31.23178291,0.365347713
Pakistan,4/1/1974,64.905996,31.6750145,4.892645836
Pakistan,7/1/1974,,24.83368874,9.272003174
Pakistan,10/1/1974,,20.84752464,5.050958157
Pakistan,1/1/1975,,25.8082428,4.485285282
Pakistan,4/1/1975,66.816875,26.48079491,5.453386307
Pakistan,7/1/1975,,18.15653419,2.080329895
Pakistan,10/1/1975,,14.58998775,1.880001783
Pakistan,1/1/1976,,9.461690903,-0.190791428
Pakistan,4/1/1976,68.834324,5.469004154,1.60690546
Pakistan,7/1/1976,,5.747824669,2.350191832
Pakistan,10/1/1976,,8.066896439,4.114251137
Pakistan,1/1/1977,,11.16586494,2.671376228
Pakistan,4/1/1977,70.958168,10.01670361,0.556559145
Pakistan,7/1/1977,,11.46502495,3.697586298
Pakistan,10/1/1977,,8.008684158,0.885845959
Pakistan,1/1/1978,,5.396584988,0.188355222
Pakistan,4/1/1978,73.197254,5.830363274,0.9704175
Pakistan,7/1/1978,,7.047645569,4.89033699
Pakistan,10/1/1978,,6.23788166,0.122693092
Pakistan,1/1/1979,,6.331213951,0.276372701
Pakistan,4/1/1979,75.561128,6.891925335,1.502860069
